recorded;PM2_5 μg/m3;CO2 ppm;HUMIDITY %;TEMP °C;VOC ppb;PRESSURE hPa;PM1 μg/m3;SOUND_LEVEL_A dBSPL;LIGHT %
2024-08-01T00:00:42;;492.00;45.68;22.04;;;;;0.00
2024-08-01T00:00:44;;;;;46.00;1008.64;;;
2024-08-01T00:05:42;;478.00;45.56;21.97;;;;;0.00
2024-08-01T00:05:44;;;;;54.00;1008.68;;;
2024-08-01T00:10:42;;459.00;45.41;21.93;;;;;0.00
2024-08-01T00:10:44;;;;;52.00;1008.72;;;
2024-08-01T00:15:42;;461.00;45.41;21.99;;;;;0.00
2024-08-01T00:15:44;;;;;65.00;1008.76;;;
2024-08-01T00:20:43;;471.00;45.28;21.99;;;;;0.00
2024-08-01T00:20:44;;;;;65.00;1008.74;;;
2024-08-01T00:25:42;;495.00;45.11;21.99;;;;;0.00
2024-08-01T00:25:44;;;;;65.00;1008.80;;;
2024-08-01T00:30:43;;511.00;45.28;21.85;;;;;0.00
2024-08-01T00:30:45;;;;;56.00;1008.88;;;
2024-08-01T00:35:46;;487.00;45.10;21.99;;;;;0.00
2024-08-01T00:35:48;0.00;;;;63.00;1008.90;0.00;;
2024-08-01T00:40:42;;480.00;45.04;21.94;;;;;0.00
2024-08-01T00:40:44;;;;;58.00;1008.88;;;
2024-08-01T00:45:42;;476.00;44.94;21.77;;;;;0.00
2024-08-01T00:45:44;;;;;63.00;1008.92;;;
2024-08-01T00:50:42;;482.00;44.89;21.99;;;;;0.00
2024-08-01T00:50:44;;;;;69.00;1008.96;;;
2024-08-01T00:55:43;;489.00;44.96;21.87;;;;;0.00
2024-08-01T00:55:45;;;;;56.00;1008.98;;;
2024-08-01T01:00:42;;483.00;44.83;21.85;;;;;0.00
2024-08-01T01:00:44;;;;;63.00;1009.04;;;
2024-08-01T01:05:43;;480.00;44.84;21.94;;;;;0.00
2024-08-01T01:05:45;;;;;63.00;1009.10;;;
2024-08-01T01:10:42;;476.00;44.84;21.99;;;;;0.00
2024-08-01T01:10:44;;;;;71.00;1009.08;;;
2024-08-01T01:15:42;;487.00;44.68;21.93;;;;;0.00
2024-08-01T01:15:44;;;;;56.00;1009.14;;;
2024-08-01T01:20:42;;488.00;44.67;21.99;;;;;0.00
2024-08-01T01:20:44;;;;;56.00;1009.14;;;
2024-08-01T01:25:42;;470.00;44.53;21.73;;;;;0.00
2024-08-01T01:25:44;;;;;58.00;1009.14;;;
2024-08-01T01:30:42;;456.00;44.29;21.85;;;;;0.00
2024-08-01T01:30:44;;;;;65.00;1009.14;;;
2024-08-01T01:35:46;;460.00;44.26;21.79;;;;;0.00
2024-08-01T01:35:48;0.00;;;;59.00;1009.12;0.00;;
